id	description	en	local
		MOVE	移动
		Move your vehicle within the bounds of the edit grid.	在编辑网格的范围内移动载具。
		Hook up logic connections between components.	连接组件之间的逻辑连接。
		MERGE	合并
		Merge two vehicle bodies. Different bodies are denoted by different colours. Click on a body to select it, then click an adjacent one to merge them.	合并两个载具。不同的物体用不同的颜色表示。单击一个实体将其选中，然后单击相邻的实体将其合并。
		SELECTION GRID	选择网格
		Select parts of your vehicle to cut, copy, paste, rotate, flip and move them around. Export a selection as a new vehicle, or import a saved subassembly to place on your vehicle.	选择要切割、复制、粘贴、旋转、翻转和移动的载具部件。将选定内容导出为新载具，或导入保存的部件以放置在载具上。
		MICROCONTROLLER EDITOR	微控制器编辑器
		Create and edit microcontrollers to build compact logic circuits for your vehicle.	创建和编辑微控制器，为您的载具构建紧凑的逻辑电路。
		INVENTORY	库存
		Browse all components in your inventory [tab]. Drag components to your hotbar with [LMB] for quick access. Double click a component to hide the inventory. Double click a hotbar slot or select it when the inventory is open to replace it with another component. [0-9] can be used to select hotbar slots.	浏览库存中的所有组件[tab]。使用[LMB]将组件拖到您的热栏中，以便快速访问。双击组件以隐藏库存。双击一个热工具栏槽，或者在库存打开时选择它，用另一个组件替换它。[0-9]可用于选择hotbar插槽。
		Advanced Presets	高级预设
		Presets	预设
		Your saved vehicles.	您保存的载具。
		Vehicles you've subscribed to on the Steam Workshop.	您在Steam创意工坊预订的载具。
		Some basic vehicles to get you started.	一些让你起步的基础载具。
		Preset subassemblies to paste onto your vehicles.	粘贴到载具上的预设部件。
		Upload a new vehicle to the steam workshop, or select one of your existing workshop vehicles to edit and overwrite it	将新载具上传到steam创意工坊，或选择一辆现有的创意工坊载具进行编辑和覆盖
		VEHICLE NAME	载具名称
		Vehicle Type	载具类型
		Vehicle Functionality	载具功能
		Misc.	杂项。
		tags	标签
		Vehicle (Made by ###)	载具(由####制造)
		SERVER: ### FPS	服务器：###FPS
		### Degrees	###度
		Last updated ###	上次更新时间###
		Functions	功能
		Matrices	矩阵
		Callbacks	回调
		Examples	示例
		Television	电视机
		Crate	机箱
		Basketball	篮球
		Collectable	收藏品
		Chair	椅子
		Food Trolley	餐车
		Medical Trolley	医用推车
		Office Chair	办公椅
		Book	书
		Bottle	瓶子
		Frying Pan	煎锅
		Mug	马克杯
		Saucepan	平底锅
		Stool	粪便
		Telescope	望远镜
		Log	原木
		Bin	箱子
		Book 2	书 2
		Loot	战利品
		Barrel	木桶
		Blue Barrel	蓝桶
		Buoyancy Ring	救生圈
		Container	集装箱
		Gas Canister	煤气罐
		Pallet	托盘
		Storage Bin	储物箱
		Fire Extinguisher	灭火器
		Tool Trolley	工具推车
		Cafetiere	咖啡馆
		Tool Drawer	工具抽屉
		Glass	玻璃
		Microwave	微波炉
		Plate	盘子
		Box (Closed)	盒子(关闭)
		Box (Open)	盒子(打开)
		Desk Lamp	台灯
		Eraser Board	橡皮板
		Folder	文件夹
		Funnel	漏斗
		Lamp	灯
		Microscope	显微镜
		Notebook	笔记本
		Pen Marker	记号笔
		Pencil	铅笔
		Scales	量尺
		Beaker	烧杯
		Cylinder	圆柱
		Flask	瓶
		Tub 1	浴缸1
		Tub 2	浴缸2
		File Stack	文件堆
		Toxic Barrel	有毒物桶
		Debris	残骸
		Schematic	示意图
		Clothing	服装
		Unknown	未知
		Tag	标签
		Marker Text	标记文本
		Spawn Relative to Sea Floor	相对于海底生成
		Zone Type	区域类型
		Box	盒子
		Radius	半径
		Type	类型
		Outfit	装备
		Civilian	平民
		Worker	工人
		Fishing	垂钓
		Waiter	侍者
		Swimsuit	泳衣
		Military	军用
		Office	办公室
		Medical	医学
		Wetsuit	潜水服
		Survivor	幸存者
		NPC	NPC
		Is Static	是静态的
		Is Lit	是着火
		Is Explosion	是爆炸
		Fire Size	火灾规模
		Loot Type	捡拾类型
		Crate (floats)	板条箱(浮子)
		Chest (sinks)	箱子(水槽)
		Button's Display Name	按钮显示名称
		Zone	区域
		Object	对象
		Flare	照明弹
		Fire	火
		Vehicle Button	载具按钮
		Mission Component	任务部分
		Addons you've uploaded to the Steam Workshop.	你已经上传到创意工坊的插件
		No description	没有描述
		SELECT LOCATION	选择位置
		Location	位置
		Delete Location	删除位置
		Select Location	选择位置
		Edit Objects	编辑对象
		Add Unique Location	添加唯一位置
		MISSION LOCATIONS	任务地点
		Edit Mission	编辑任务
		Add Mission	添加任务
		Colour	颜色
		PROPERTIES	属性
		on/off	开/关
		number	数字
		fluid	流体
		electric	电气
		composite	混合
		Police Outfit	警察装备
		Scientist Outfit	科学家装备
		MISSION	任务
		CLICK FOR MORE DETAILS	单击以获取更多详细信息
		Set Waypoint	设置航路点
		Remove Waypoint	删除航路点
		Center Waypoint	航路点居中
		Center Active Mission	当前任务居中
		Mark Active Mission	标记当前任务
		Center Player	玩家位置居中
		Wake	醒来
		Sleep	睡眠
		(all players must be sleeping to fast-forward)	(所有玩家必须睡下才能快进)
		PURCHASE ISLAND	购买岛屿
		Bank	银行
		Total	总计
		Police Hat	警帽
		NEW ADDON	新插件
		Add/Remove Components	添加/删除组件
		Mission Dependencies	任务相关性
		Set Mission Depencies	设置任务相关性
		A mission will only spawn in career mode if all of its dependencies are met.	只有当一个任务的所有依赖项都满足时，它才会在生涯模式下产生。
		No depenencies set.	未设置依赖项。
		Components	组件
		Requirements	要求
		Requirements must be met for this mission to spawn in career mode.	必须满足此任务在生涯模式下生成的要求。
		Small Boat	小船
		Large Boat	大船
		Plane	飞机
		Helicopter	直升机
		Fire Equipment	消防器材
		Influences the overall reward value generated for this mission in career mode.	在生涯模式中影响此任务产生的总体奖励值。
		Easy	简单
		Hard	困难
		Expert	专家
		This mission will only spawn in career mode if the environment is within these parameters.	只有当环境在这些参数范围内时，这个任务才会在生涯模式下产生。
		Fog Intensity	雾强度
		Rain Intensity	降雨强度
		Wind Intensity	风力强度
		Inactive until triggered	在触发前不活动
		Hide markers	隐藏标记
		Has time limit	有时间限制
		Timer paused	计时器暂停
		Time Limit (h:m:s)	时限(h:m:s)
		Delete Objective	删除目标
		Set Objective Dependencies	设置目标依赖项
		Add Objective	添加目标
		Delete Trigger	删除触发器
		Configure Trigger	配置触发器
		Configure Action	配置操作
		Add Trigger	添加触发器
		NEW VEHICLE	新载具
		NEW MICROCONTROLLER	新型微控制器
		Hold ### to enable multi-linking	按住####可启用多链接
		Press ### to focus on hovered blocks	按###将焦点放在悬浮方块上
		Press ### to focus on hovered logic nodes	按###将焦点放在悬浮的逻辑节点上
		Press ### to focus on highlighted components	按###将焦点放在突出显示的组件上
		Hold ### to change drag plane	按住###可更改拖动平面
		Press ### to rotate selection	按###旋转所选内容
		Press ### to flip selection	按###翻转所选内容
		Press ### to show/hide vehicle	按###显示/隐藏载具
		Hold ### to eyedrop component	按住 ### 复制选中组件
		Hold ### to eyedrop color	按住 ### 复制选中颜色
		Hold ### to select component	按住###键选择组件
		Hold ### to expand to component	按住###展开到组件
		Hold ### to place multiple	按住###可放置多个
		Remove Vehicle from Zone	将载具移出区域
		Create Structure	创建结构
		Create Vehicle	创建载具
		Edit Structure in Zone	编辑区域中的结构
		Edit Vehicle in Zone	在区域中编辑载具
		Too Many Structures in Zone	区域内结构过多
		Too Many Vehicles in Zone	区域内载具过多
		Ladder	梯子
		Collect Present	收集礼物
		Collect Loot	收集战利品
		Pick Up	拿起
		Default State	默认状态
		Hold Duration	保持时间
		Min Value	最小值
		Max Value	最大值
		Start Value	起始值
		Output Label	输出标签
		Output A Label	输出A标签
		Output B Label	输出B标签
		Color Mode	颜色模式
		RGB	RGB
		HSV	HSV
		Composite Channels	复合通道
		Red/Hue	红色/色调
		Green/Sat	绿色/饱和度
		Blue/Val	蓝色/色度
		Instrument 1	仪器1
		Instrument 2	仪器2
		Instrument 3	仪器3
		Instrument 4	仪器4
		Display Name	显示器名称
		Dial	仪表盘
		Indicator	指示灯
		Gauge	计量表
		Arrow Button	箭头按钮
		Flip Switch	翻转开关
		Seven Segment	七段显示数码管
		Radial Segment	扇形分段指示灯
		Bar Segment	垂直分段指示灯
		Max Power	最大功率
		RPS Limiter	RPS限制器
		Blade Count	叶片数
		2 Blades	2叶
		3 Blades	3叶
		4 Blades	4叶
		5 Blades	5叶
		6 Blades	6叶
		7 Blades	7叶
		8 Blades	8叶
		Blade Pitch	桨距
		positive	正
		neutral	中性
		Min Throttle	最小节流阀
		Max Throttle	最大节流阀
		Decimal Point Position	小数点位置
		Decimals Disabled	小数点禁用
		Sound Type	声音类型
		Warning 1	警告1
		Warning 2	警告2
		Warning 3	警告3
		Beep 1	嘟嘟声1
		Beep 2	嘟嘟声2
		Seatbelt	安全带
		Volume	音量
		Roll	侧偏
		Pitch	俯仰(Pitch)
		Yaw	偏航(Yaw)
		Preview	预览
		Blink On Duration	闪烁持续时间
		Blink Off Duration	闪烁持续时间
		Delay Timer	延时定时器
		Low Threshold	低阈值
		High Threshold	高阈值
		Output Value	输出值
		Proportional Gain	比例增益(Proportional Gain)
		Integral Gain	积分增益(Integral Gain)
		Derivative Gain	导数增益(Derivative Gain)
		Reset Value	重置值
		Charge Time	充电时间
		Discharge Time	放电时间
		Sensor Mode	传感器模式
		Absolute	绝对
		Directional	方向性
		Horizontal	水平
		Vertical	垂直
		Function	功能
		Inverse Sine	反正弦
		Inverse Cosine	反余弦
		Inverse Tangent	反正切
		Exponent	指数
		No properties exposed.	没有属性暴露。
		Speed	速度
		Max Power	最大功率
		Gear Ratio	传动比
		Parachute Size	降落伞尺寸
		Label	标签
		Mode	模式
		Sticky	保持
		Toggle	切换
		Push	按住
		Trim	配平
		Trim Axis 1	配平轴1
		Trim Axis 2	配平轴2
		Trim Axis 3	配平轴3
		Trim Axis 4	配平轴4
		Spring Strength	弹簧强度
		Ratio Off	关闭时比例
		Ratio On	开启时比例
		Fluid Type	流体类型
		Fresh Water	净水
		Sea Water	海水
		Empty	空的
		Allow Fresh Water	允许净水
		Allow Sea Water	允许海水
		Allow Diesel	允许柴油
		Allow Jet Fuel	允许航空燃油
		Allow Air	允许空气
		Allow Exhaust	允许废气
		Allow Crude Oil	允许原油
		Grip	抓地力
		Tyre Tread	轮胎胎面
		All Round	全方位
		High Speed	高速
		High Grip	高抓地力
		Stiffness	刚度
		Damping	阻尼
		Tyre Radius	轮胎半径
		Tyre Pressure	轮胎气压
		Track Tension	轨道张力
		VIDEO	视频
		Edit video transfer nodes.	编辑视频传输节点。
		video	视频
		Edit audio transfer nodes.	编辑音频传输节点。
		audio	音频
		ROPE	绳
		Edit rope transfer nodes.	编辑绳索传输节点
		rope	绳
		ROPE	绳
		sail	帆
		Edit rope transfer nodes.	编辑绳索传输节点
		LUA SCRIPTING OVERVIEW	LUA脚本概述
		Lua scripting gives you the tools to create advanced logic components using the Lua scripting language. Stormworks provides a number of functions to allow your script to interface with your vehicle's logic system, as well as drawing to in-game monitors.\n\nThis guide outlines the functions that are available for use in your scripts but it is not a comprehensive tutorial on using the Lua language.	Lua脚本提供了使用Lua脚本语言创建高级逻辑组件的工具。Stormworks提供了许多功能，允许脚本与载具的逻辑系统进行交互，并绘制到游戏中的屏幕中。\n\n本指南概述了可在脚本中使用的功能，但它不是使用Lua语言的综合系统性教程。
		SCRIPT BASICS	脚本基础
		The tick function will be called once every logic tick and should be used for reading composite data and any required processing. Screen functions will have no effect if called within onTick.	tick函数将在每个逻辑tick调用一次，并应用于读取复合数据和任何所需的处理。如果在onTick中调用屏幕功能，则不会产生任何效果。
		The draw function will be called any time this script is drawn by a monitor. Note that it can be called multiple times if this microcontroller is connected to multiple monitors whereas onTick is only called once. Composite input/output functions will have no effect if called within onDraw.	当屏幕绘制此脚本时，将调用draw函数。注意，如果这个微控制器连接收到多个屏幕，它可以被多次调用，而onTick只被调用一次。如果在onDraw中调用复合输入/输出函数，则不会产生任何效果。
		COMPOSITE INPUT/OUTPUT	复合输入输出
		PROPERTIES	属性
		Read the values of property components within this microcontroller directly. The label passed to each function should match the label that has been set for the property you're trying to access (case-sensitive).	直接读取此微控制器中属性组件的值。传递给每个函数的标签应与为您试图访问的属性设置的标签匹配(区分大小写)。
		Read values from the composite input. Index ranges from 1 - 32.	从复合输入读取值。索引范围从1到32。
		Set values on the composite output. Index ranges from 1 - 32.	在复合输出上设置值。索引范围从1到32。
		DRAWING	绘图
		Set the current draw colour. Values range from 0 - 255.	设置当前绘图颜色。值的范围为0-255。
		Set the current draw colour and transparency. Values range from 0 - 255.	设置当前绘图颜色和透明度。值的范围为0-255。
		Clear the screen with the current colour.	用当前颜色清除/覆盖屏幕。
		Draw line from (x1, y1) to (x2, y2).	从(x1, y1)到(x2, y2)画一条直线
		Draw circle at (x, y) with radius.	在(x, y)以指定半径画圈
		Draw filled circle at (x, y) with radius.	在(x, y)以指定半径画实心圆
		Draw rectangle at (x, y) with width and height.	在(x, y)以指定宽高画矩形边框
		Draw filled rectangle at (x, y) with width and height.	在(x, y)以指定宽高画实心矩形
		Draw triangle between (x1, y1), (x2, y2) and (x3, y3).	在(x1, y1)、(x2, y2)、(x3, y3)之间画三角形边框
		Draw filled triangle between (x1, y1), (x2, y2) and (x3, y3).	在(x1, y1)、(x2, y2)、(x3, y3)之间画实心三角形
		Draw text at (x, y). Each character is 4 pixels wide and 5 pixels tall.	在(x, y)处渲染文字，每个字母4像素宽、5像素高
		Draw text within the rectangle at (x, y) with width and height. Text alignment can be specified using the last two parameters and ranges from -1 to 1 (left to right, top to bottom). If either of the alignment parameters are omitted, the text will be drawn top-left by default. Text will automatically wrap at spaces when possible, and will overflow the top/bottom of the specified rectangle if too large.	在（x，y）处的矩形内绘制宽度和高度相同的文本。可以使用最后两个参数指定文本对齐方式，范围从-1到1（从左到右，从上到下）。如果省略任何一个对齐参数，则默认情况下，文本将绘制在左上角。如果可能，文本将自动换行到空格处，如果太大，文本将溢出指定矩形的顶部/底部。
		Draw the world map centred on map coordinate (x,y) with zoom level ranging from 0.1 to 50.	以地图坐标（x，y）为中心绘制世界地图，缩放比例从0.1到50。
		Set the colours used for rendering the map. Values range from 0 - 255, alpha is optional.	设置用于渲染地图的颜色。值的范围从0到255，可指定alpha(透明度)。
		Get the width/height of the screen currently being rendered to.	获取当前渲染到的屏幕的宽度/高度。
		MAP	地图
		Convert pixel coordinates into world coordinates.	将像素坐标转换为世界坐标。
		Convert world coordinates into pixel coordinates.	将世界坐标转换为像素坐标。
		LUA FUNCTIONS	LUA函数
		The following global lua functions are available:\n\n- pairs\n- ipairs\n- next\n- tostring\n- tonumber\n\nand additional functions are available through the following lua libraries:\n\n- math\n- table\n- string\n\nFor full documentation of the functions provided by these libraries, visit https://www.lua.org/manual/.	以下全局lua函数可用：\ n\n-pairs\n-ipairs\n-next\n-tostring\n-tonumber\n\n其他函数可通过以下lua库使用：\ n\n-math\n-table\n-string\n\n有关这些库提供的函数的完整文档，请访问https://www。lua。org/manual/。
		TELEMETRY FUNCTIONS	遥测功能
		The following global async functions are available:\n\n- httpGet\n\nHTTP requests are sent to the localhost on the specified port. Responses are caught with the httpReply(port, request_body, response_body) callback function.\n\nasync.httpGet(port, request_body)\n\nExample of a HTTP request sent to port 80:	可以使用以下全局异步函数：\n\n-httpGet\n\nHTTP请求被发送到指定端口上的本地主机。使用httpReply（端口，request_body，response_body）回调函数捕获响应。\n\nasync.httpGet（端口，request_body）\n\n[译者注:此函数使用可以参考本人B站视频:BV1mV411B7Bg] \n\n发送到端口80的HTTP请求示例：
		META FROM THE DEVS	来自开发组的参考
		This scripting API is very powerful and as such there are some important reminders to take note of:\n\n- Your script has a max execution time of 1000 milliseconds, however it is still possible to create scripts that significantly slow down the game. It is your responsibility to ensure your script runs efficiently.\n\n- Random number functions are provided by the Lua math library. Use of randomness in your scripts is likely to cause desync in multiplayer, so use these functions at your own risk.\n\n- When your vehicle despawns and respawns, your script will be executed 'fresh' and any state stored within the script will be lost. We recommend keeping your script as stateless as possible, and making use of existing logic components (e.g. memory register) to store values that you wish to persist.\n\n- Your scripts run as a 'black box' with only the logic inputs/outputs being synced in multiplayer. Keep in mind that complex logic in your script may behave differently for different players in a multiplayer session.\n\n- A number of safeguards are in place to sandbox your script, however it is still possible to write scripts that will potentially crash your game. If you crash your game with a script, it's likely that you're doing something (very) wrong. This is your own responsibility. If you suspect you have encountered a legitimate bug, please report it on the Stormworks issue tracker (accessible from the pause-menu).\n\n- Malicious and harmful scripts will not be tolerated on the Stormworks Steam Workshop.\n\nFinally, enjoy the almost limitless possibilities that these scripts provide. This short wiki aims to give a good overview of how scripting in Stormworks works, however if you have any questions that are not covered here, please feel free to join us on Discord (accessible from the pause-menu)!	这个脚本API非常强大，因此有一些重要的提示需要注意：\n\n-您的脚本的最大执行时间为1000毫秒，但是仍然可以创建显著降低游戏速度的脚本。您有责任确保脚本高效运行。\n\n-随机数函数由Lua数学库提供。在脚本中使用随机性可能会导致多人游戏中的失同步，因此使用这些函数的风险由您自己承担。\n\n-当您的车辆报废和重新启用时，您的脚本将被“刷新”执行，并且脚本中存储的任何状态都将丢失。我们建议您的脚本尽可能保持无状态，并利用现有的逻辑组件（例如内存寄存器）来存储希望持久化的值。\n\n-您的脚本作为“黑盒”运行，只有逻辑输入/输出在多人游戏中同步。请记住，脚本中的复杂逻辑对于多人游戏会话中的不同玩家可能会有不同的行为。\n\n-有许多保护措施可以对脚本进行沙盒处理，但是仍然可以编写可能会使游戏崩溃的脚本。如果你用一个脚本使游戏崩溃，很可能你做错了什么。这是你自己的责任。如果您怀疑遇到了合法的错误，请在Stormworks问题跟踪程序（可从“暂停”菜单访问）上报告。\n\n-在Stormworks Steam Workshop上不允许使用恶意和有害的脚本。\n\n最后，请享受这些脚本提供的几乎无限的可能性。这个简短的wiki旨在很好地概述Stormworks中的脚本是如何工作的，但是如果您有任何问题，请随时加入我们的Discord（可从暂停菜单访问）！
		TOUCHSCREEN DATA	触摸屏数据
		The composite output from the monitors contains data that can be interpreted in your script to create touchscreens. The layout of the composite data is as follows:\n\nNumber Channels\n1: monitorResolutionX\n2: monitorResolutionY\n3: input1X\n4: input1Y\n5: input2X\n6: input2Y\n\nOn/Off Channels:\n1: isInput1Pressed\n2: isInput2Pressed\n\nThis is an example of a script that outputs a signal on composite channel 1 if the player is pressing the screen within a specific rectangle:	屏幕的复合输出包含可以在脚本中解释以创建触摸屏的数据。组合数据的布局如下所示：\ n\n频道数\n1:monitorResolutionX\n2:monitorresolution\n3:input1X\n4:input1Y\n5:input2X\n6:input2Y\n\n非/非频道：\ n1:isInput1Pressed\n2:isInput2Pressed\n\n这是一个脚本示例，如果玩家在一个特定矩形：
		Check Errors	检查错误
		Script	脚本
		Help	帮助
		Burn Rate	燃烧率
		Infrared	红外
		Default to Active	默认为活动
		sec	秒
		rps	RPS
		Muzzle Velocity	初速
		Helicopters	直升机
		Planes	飞机
		Heavy Aircraft	重型飞机
		Jets	喷气式飞机
		Afterburner	加力燃烧室
		VTOL	VTOL
		Large Jets	大型喷气式飞机
		Jet Ducting	喷射管道
		Solid Rockets	固体火箭
		Doors	门
		Docking Doors	停靠门
		Custom Doors	定制门
		Large Boats	大船
		Shipping	航运
		Navigation	导航
		Radar and Sonar	雷达和声纳
		Rescue Equipment	救援装备
		Diving Equipment	潜水装备
		Deep Sea Diving	深潜装备
		Firefighting Equipment	消防装备
		Advanced Rescue Equipment	高级救援装备
		Arctic Rescue	极地救援装备
		Sensors	传感器
		Advanced Sensors	高级传感器
		Weather Sensors	气象传感器
		Buttons	按钮
		Keypads	小键盘
		Displays	显示器
		Advanced Displays	高级显示器
		Video Equipment	视频设备
		Basic Mechanics	基本机械
		Compact Mechanics	紧凑机械
		Land Vehicles	陆地载具
		Heavy Land Vehicles	重型陆地载具
		Trains	火车
		Tank Tracks Small	小型坦克履带
		Tank Tracks Medium	中型坦克履带
		Tank Tracks Large	大型坦克履带
		Arctic Land Vehicles	北极陆地载具
		Decorations	装饰品
		Railings	栏杆
		Basic Logic	基本逻辑
		Functions	函数
		Behaviour	行为
		Advanced Logic	高级逻辑
		Electrics	电气
		High Capacity Electrics	大容量电池
		Radio RX	无线电接收
		Fluid Management	流体管理
		Advanced Fluid Management	高级流体管理
		Water Jets	喷水引擎
		UNLOCKS	解锁
		RESEARCH PATH	研究路径
		Begin Research	开始研究
		Attach	连接
		Detach	分离
		Apply First Aid	急救
		Revive	复苏
		Cannot Equip In Active Slot	不能装备到主动道具栏
		Keep Vehicle Active	保持载具激活
		Cargo Object	货舱物体
		Fire Extinguished	灭火
		Reported Forest Fires	报告的森林火灾
		Put out forest fire	扑灭森林火灾
		Put out this forest fire that will cause major environmental damage.	扑灭这场会造成重大环境破坏的森林大火。
		A forest fire has appeared that threatens local flora and fauna.	一场威胁当地动植物的森林大火已经出现。
		An uncontrolled blaze has sprung up, decimating the natural scenery.	一场无法控制的大火突然爆发，破坏了自然环境。
		Extinguish the wildfire before it gets out of control.	在野火失去控制之前把它扑灭。
		A forest fire needs to be extinguished.	森林大火需要扑灭。
		Cargo Zone	卸货区
		Pickup	装货
		Dropoff	卸货
		Cargo Dropoff Point	卸货点
		Cargo Pickup Point	装货点
		Imported Cargo	进口货物
		Exported Cargo	出口货物
		Nearby Cargo	旁边的货物
		Crate	板条箱
		Passenger	乘客
		Container	容器
		Vehicle editing is disabled.	载具编辑已禁用。
		You must be authorised to use workbench.	你必须得到授权才能使用工具台
		Explosion ignition point	爆炸着火点
		Explosion magnitude	爆炸当量
		Begin	开始
		End	终点
		Hardware	硬件
		Config	配置
		Settling	沉降
		Returning to menu	返回菜单
		OS	操作系统
		CPU	CPU
		RAM	RAM
		GPU Vendor	GPU供应商
		GPU	GPU
		Min/Avg/Max	最小/平均/最大
		Samples	采样
		Frame	框架
		Thread	线程
		Framerate (FPS)	帧率(FPS)
		Frame Time (ms)	帧时间(ms)
		CPU Active Time (ms)	CPU活动时间(ms)
		CPU Utilization	CPU利用率
		FPS	FPS
		Diving Equipment	潜水设备
		Firefighting Outfit	救火外套
		Scuba Gear	水肺装备
		Parachute	降落伞
		Thermal Clothing	隔热服
		Binoculars	望远镜
		Cable	线
		Compass	指南针
		Defibrillator	心脏除颤器
		First Aid Kit	急救包
		Flaregun	信号弹枪
		Flaregun Ammo	信号弹
		Flashlight	手电筒
		Hose	软管
		Night Vision Binoculars	夜视望远镜
		Oxygen Mask	氧气面罩
		Radio	无线电
		Radio Signal Locator	无线电信号定位器
		Remote Control Unit	远程控制单元
		Rope	绳索
		Strobe Light	频闪灯
		Strobe Light (infrared)	频闪灯(红外)
		Transponder	应答器
		Underwater Welding Torch	水下焊枪
		Welding Torch	焊枪
			
			
			
		[$[action_equipment_use]] Open parachute [$[action_equipment_secondary]] Close parachute	[$[action_equipment_use]] 打开降落伞 [$[action_equipment_secondary]] 关闭降落伞
			
		[$[action_equipment_use]] Zoom in	[$[action_equipment_use]]放大
			
			
		[$[action_equipment_use]] Revive incapaciated player	[$[action_equipment_use]] 接受丧失行动能力玩家
		[$[action_equipment_use]] Spray water	[$[action_equipment_use]] 洒水
		[$[action_equipment_use]] Heal self / target	[$[action_equipment_use]] 治疗自己/目标
		[$[action_equipment_use]] Throw flare	[$[action_equipment_use]] 扔出信号弹
		[$[action_equipment_use]] Fire flare [$[action_equipment_secondary]] Unload	[$[action_equipment_use]] 射击信号弹 [$[action_equipment_secondary]] 卸载弹药
		[$[action_equipment_use]] Reload flaregun	[$[action_equipment_use]] 重新装填信号弹枪
		[$[action_equipment_use]] Toggle flashlight	[$[action_equipment_use]] 开关手电筒
		[$[action_equipment_secondary]] Toggle hose nozzle	[$[action_equipment_secondary]] 开关软管喷嘴
		[$[action_equipment_use]] Zoom in	[$[action_equipment_use]] 放大
		[$[action_equipment_use]] Recover oxygen	[$[action_equipment_use]] 回复氧气
		[$[action_equipment_use]] Transmit [$[action_equipment_secondary]] Cycle frequency	[$[action_equipment_use]] 通信 [$[action_equipment_secondary]] 循环切换频率
			
		[$[action_equipment_use]] Toggle control [$[action_equipment_secondary]] cycle frequency	[$[action_equipment_use]] 控制开关 [$[action_equipment_secondary]] 循环切换频率
			
		[$[action_equipment_use]] Toggle strobe [$[action_equipment_secondary]] Toggle MOB mode	[$[action_equipment_use]] 频闪开关 [$[action_equipment_secondary]] 切换MOB模式
		[$[action_equipment_use]] Toggle strobe [$[action_equipment_secondary]] Toggle MOB mode	[$[action_equipment_use]] 频闪开关 [$[action_equipment_secondary]] 切换MOB模式
		[$[action_equipment_use]] Toggle transmit [$[action_equipment_secondary]] Toggle MOB mode	[$[action_equipment_use]] 通信开关 [$[action_equipment_secondary]] 切换MOB模式
		[$[action_equipment_use]] Repair	[$[action_equipment_use]]维修
		[$[action_equipment_use]] Repair	[$[action_equipment_use]]维修
		Detailed	细致的
		Simple	简单的
		Incapacitated	丧失行动能力的
		Respawn	重生
		Respawning is Disabled	重生已被禁用
		Spawn Vehicle	生成载具
		There is already a vehicle in the edit zone, are you sure you would like to spawn this vehicle?	已经有一台载具在编辑区域了，你确定你要生成载具吗？
		Unload	卸载弹药
		Reload	重新装弹
		Light Auto Ammo Box	轻型自动武器弹药箱
		Rotary Auto Ammo Box	转轮自动武器弹药箱
		Heavy Auto Ammo Box	重型自动武器弹药箱
		Battle Shell	炮弹
		Artillery Shell	重型炮弹
		Temperature	温度
		Auto Refuel	自动补充燃料
		Third Person Vehicle	第三人称载具
		BLUEPRINT UNLOCK	蓝图解锁
		BLUEPRINT	蓝图
		AI	AI
		Ship Pilot	船只驾驶员
		Helicopter Pilot	直升机驾驶员
		Plane Pilot	飞机驾驶员
		Gunner	武器操作员
		Light Auto Ammo Box (Kinetic)	轻型自动武器弹药箱(动能)
		Light Auto Ammo Box (High Explosive)	轻型自动武器弹药箱(高爆)
		Light Auto Ammo Box (Fragmentation)	轻型自动武器弹药箱(破片)
		Light Auto Ammo Box (Armor Piercing)	轻型自动武器弹药箱(穿甲)
		Light Auto Ammo Box (Incendiary)	轻型自动武器弹药箱(曳光)
		Rotary Auto Ammo Box (Kinetic)	转轮自动武器弹药箱(动能)
		Rotary Auto Ammo Box (High Explosive)	转轮自动武器弹药箱(高爆)
		Rotary Auto Ammo Box (Fragmentation)	转轮自动武器弹药箱(破片)
		Rotary Auto Ammo Box (Armor Piercing)	转轮自动武器弹药箱(穿甲)
		Rotary Auto Ammo Box (Incendiary)	转轮自动武器弹药箱(曳光)
		Heavy Auto Ammo Box (Kinetic)	重型自动武器弹药箱(动能)
		Heavy Auto Ammo Box (High Explosive)	重型自动武器弹药箱(高爆)
		Heavy Auto Ammo Box (Fragmentation)	重型自动武器弹药箱(破片)
		Heavy Auto Ammo Box (Armor Piercing)	重型自动武器弹药箱(穿甲)
		Heavy Auto Ammo Box (Incendiary)	重型自动武器弹药箱(曳光)
		Battle Shell (Kinetic)	炮弹(动能)
		Battle Shell (High Explosive)	炮弹(高爆)
		Battle Shell (Fragmentation)	炮弹(破片)
		Battle Shell (Armor Piercing)	炮弹(穿甲)
		Battle Shell (Incendiary)	炮弹(曳光)
		Artillery Shell (Kinetic)	重型炮弹(动能)
		Artillery Shell (High Explosive)	重型炮弹(高爆)
		Artillery Shell (Fragmentation)	重型炮弹(破片)
		Artillery Shell (Armor Piercing)	重型炮弹(穿甲)
		Artillery Shell (Incendiary)	重型炮弹(曳光)
		C4 Explosive	C4炸药
		C4 Detonator	C4雷管
		Speargun	鱼叉枪
		Speargun Ammo	鱼叉枪弹药
		Pistol	手枪
		Pistol Ammo	手枪弹药
		Grenade	手榴弹
		Enable weapons DLC	开启武器DLC
		Modular Engines	模块化引擎
		Medium Modular Engines	中型模块化引擎
		Heavy Modular Engines	重型模块化引擎
def_01_block_name		Block	方块
def_01_block_desc		The block is a quarter-metre in size. Components can be attached to all 6 faces.	这个方块有四分之一米大。组件可以连接收到所有6个面。
